ts,token_id,mid,best_bid,best_ask,spread,mid_diff1,mid_diff2,ma3,std3,label
1779791386085,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791387153,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791388082,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791389079,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791390128,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791391358,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791392086,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791393108,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791394296,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791395087,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791396085,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791397102,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791398086,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791399122,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791400083,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791401099,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791402081,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791403289,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791404158,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791405079,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791406103,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791407093,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791408151,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791409078,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791410080,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791411123,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791412145,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791413169,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791414096,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791415114,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791416086,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791417127,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
